customer_id,tenure_months,monthly_charges,contract_type,support_calls,churn,days_since_cancellation,retention_offer_after_cancellation,final_bill_amount
10021,2,87.66,Month-to-month,2,0,,0,
10177,4,48.36,Two year,0,0,,0,
10336,7,82.85,Two year,1,0,,0,
10380,11,61.46,Month-to-month,4,1,7.0,0,76.18
10546,3,38.53,Month-to-month,2,0,,0,
10172,1,80.16,One year,3,0,,0,
10520,43,65.85,Two year,3,0,,0,
10508,44,42.65,Month-to-month,2,1,47.0,1,53.29
10153,23,120.0,Two year,2,0,,0,
10414,1,59.52,One year,4,0,,0,
10582,1,43.62,Month-to-month,3,0,,0,
10317,72,68.7,Month-to-month,1,0,,0,
10259,2,62.88,Month-to-month,1,1,43.0,1,74.45
10475,41,37.33,Two year,2,0,,0,
10338,35,73.88,Month-to-month,2,0,,0,
10539,2,91.4,Month-to-month,1,1,55.0,0,100.87
10505,67,53.97,Month-to-month,2,0,,0,
10399,35,74.28,Month-to-month,3,0,,0,
10424,48,30.71,Month-to-month,2,0,,0,
10481,32,93.42,One year,5,0,,0,
10423,19,81.29,One year,1,0,,0,
10120,24,92.78,Month-to-month,2,1,80.0,0,75.63
10257,28,84.18,Two year,1,0,,0,
10250,9,70.5,Month-to-month,2,0,,0,
